19 окт. 2025 13:55:02,062 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1837161627
19 окт. 2025 13:55:03,579 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@761863997
19 окт. 2025 13:55:03,580 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1837161627
19 окт. 2025 13:55:04,828 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@503879157
19 окт. 2025 13:55:17,115 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1595508782
19 окт. 2025 13:55:17,115 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@566648791
19 окт. 2025 13:55:21,072 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@679527032
19 окт. 2025 13:55:37,095 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@52915780
19 окт. 2025 13:55:37,096 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@436454878
19 окт. 2025 13:55:42,670 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1183128099
19 окт. 2025 13:55:42,823 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@343747797
19 окт. 2025 13:55:42,823 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@814035386
19 окт. 2025 13:55:42,823 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1506156866
19 окт. 2025 13:55:42,825 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@658315733
19 окт. 2025 13:55:49,550 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1595508782
19 окт. 2025 13:55:49,550 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1506156866
19 окт. 2025 13:55:49,550 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@566648791
19 окт. 2025 13:55:49,550 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@679527032
19 окт. 2025 13:55:49,550 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1183128099
19 окт. 2025 13:55:49,550 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@343747797
19 окт. 2025 13:55:49,550 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@814035386
19 окт. 2025 13:55:49,550 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@658315733
19 окт. 2025 13:55:49,641 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1294761945
19 окт. 2025 13:55:49,659 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1011432491
19 окт. 2025 13:55:51,531 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@387660615
19 окт. 2025 13:55:51,545 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1011432491
19 окт. 2025 13:55:51,545 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1294761945
19 окт. 2025 13:55:51,545 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@387660615
19 окт. 2025 13:55:51,675 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@761863997
19 окт. 2025 14:12:53,120 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@221211964
19 окт. 2025 14:12:54,442 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@761863997
19 окт. 2025 14:12:54,442 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@221211964
19 окт. 2025 14:12:54,600 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@635068762
19 окт. 2025 14:12:57,287 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1960530994
19 окт. 2025 14:12:57,288 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1866420967
19 окт. 2025 14:12:57,630 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@130960868
19 окт. 2025 14:12:57,716 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@698095032
19 окт. 2025 14:12:57,716 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@910744771
