19 окт. 2025 13:55:03,351 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION : 47612, Time : 57, Current connections count : 1
19 окт. 2025 13:55:03,374 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 47612, Current connections count : 1
19 окт. 2025 13:55:03,534 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 47612, Current connections count : 1
19 окт. 2025 13:55:03,535 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 47612, Current connections count : 1
19 окт. 2025 13:55:03,580 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 47612, Current connections count : 1
19 окт. 2025 13:55:03,787 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 47612, Current connections count : 1
19 окт. 2025 13:55:03,788 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 47612, Current connections count : 1
19 окт. 2025 13:55:03,794 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 47612, Current connections count : 1
19 окт. 2025 13:55:03,795 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 47612, Current connections count : 1
19 окт. 2025 13:55:04,893 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION : 2704, Time : 65, Current connections count : 2
19 окт. 2025 13:55:04,914 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 2704, Current connections count : 2
19 окт. 2025 13:55:04,915 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 2704, Current connections count : 2
19 окт. 2025 13:55:04,920 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 2704, Current connections count : 2
19 окт. 2025 13:55:04,929 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 2704, Current connections count : 2
19 окт. 2025 13:55:04,934 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 2704, Current connections count : 2
19 окт. 2025 13:55:05,012 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 2704, Current connections count : 2
19 окт. 2025 13:55:05,015 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 2704, Current connections count : 2
19 окт. 2025 13:55:05,080 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 2704, Current connections count : 2
19 окт. 2025 13:55:05,084 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 2704, Current connections count : 2
19 окт. 2025 13:55:14,325 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 47612, Current connections count : 2
19 окт. 2025 13:55:14,330 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 47612, Current connections count : 2
19 окт. 2025 13:55:15,551 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 47612, Current connections count : 2
19 окт. 2025 13:55:15,553 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 47612, Current connections count : 2
19 окт. 2025 13:55:15,576 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 47612, Current connections count : 2
